modelo,variant_features,hyperparams,threshold_type,threshold,split,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
RandomForest,all_features,n_estimators=300;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.4776,0.3386,0.8552,0.4852,0.7175,0.5981,361,750,65,384
RandomForest,all_features,n_estimators=300;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.73,train,0.9348,0.9606,0.7757,0.8583,0.9885,0.9692,4646,51,360,1245
RandomForest,all_features,n_estimators=300;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.73,validation,0.8813,0.6939,0.25,0.3676,0.6347,0.3373,835,15,102,34
RandomForest,all_features,n_estimators=300;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.73,test,0.7603,0.6437,0.3742,0.4732,0.7175,0.5981,1018,93,281,168
RandomForest,all_features,n_estimators=300;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.8815,0.7136,0.8928,0.7932,0.9633,0.9089,4122,575,172,1433
RandomForest,all_features,n_estimators=300;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.789,0.3252,0.4926,0.3918,0.6237,0.317,711,139,69,67
RandomForest,all_features,n_estimators=300;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.6391,0.4278,0.7528,0.5456,0.7616,0.6299,659,452,111,338
RandomForest,all_features,n_estimators=300;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.53,train,0.881,0.7196,0.8729,0.7889,0.9633,0.9089,4151,546,204,1401
RandomForest,all_features,n_estimators=300;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.53,validation,0.8063,0.3514,0.4779,0.405,0.6237,0.317,730,120,71,65
RandomForest,all_features,n_estimators=300;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.53,test,0.6731,0.4571,0.7238,0.5603,0.7616,0.6299,725,386,124,325
RandomForest,all_features,n_estimators=500;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.8362,0.6413,0.81,0.7159,0.902,0.7879,3970,727,305,1300
RandomForest,all_features,n_estimators=500;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.788,0.3048,0.4191,0.3529,0.6451,0.267,720,130,79,57
RandomForest,all_features,n_estimators=500;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.6532,0.4422,0.784,0.5655,0.7734,0.6418,667,444,97,352
RandomForest,all_features,n_estimators=500;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.45,train,0.8121,0.5936,0.8318,0.6928,0.902,0.7879,3783,914,270,1335
RandomForest,all_features,n_estimators=500;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.45,validation,0.7819,0.3146,0.4926,0.384,0.6451,0.267,704,146,69,67
RandomForest,all_features,n_estimators=500;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.45,test,0.5968,0.4009,0.8107,0.5365,0.7734,0.6418,567,544,85,364
RandomForest,all_features,n_estimators=500;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.8332,0.6353,0.8106,0.7123,0.901,0.7878,3950,747,304,1301
RandomForest,all_features,n_estimators=500;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.7901,0.3039,0.4044,0.347,0.6158,0.2557,724,126,81,55
