horizon_days,positive_rate_train,positive_rate_validation,positive_rate_test,best_threshold_validation,val_f1,val_pr_auc,test_f1,test_precision,test_recall,test_roc_auc,test_pr_auc,test_tn,test_fp,test_fn,test_tp
10,0.21866074262139004,0.11460446247464504,0.2509677419354839,0.89,0.33548387096774196,0.358421348271015,0.5275862068965518,0.8010471204188482,0.39331619537275064,0.7648534527233637,0.6537074156033136,1123,38,236,153
20,0.2546810536337671,0.13793103448275862,0.2915584415584416,0.83,0.5367647058823529,0.436270600959642,0.49889135254988914,0.4966887417218543,0.5011135857461024,0.6743307768153692,0.5455713740080574,863,228,224,225
30,0.29054268486194856,0.16937119675456389,0.32941176470588235,0.86,0.5125628140703518,0.5029967191313607,0.3666978484565014,0.34690265486725663,0.3888888888888889,0.5405885469847458,0.4074711179995733,657,369,308,196
