modelo,split,n_pos_real,n_neg_real,tp,fp,fn,tn,fnr,fpr,alert_rate
VIX rule,validation,136,850,56,123,80,727,0.5882352941176471,0.14470588235294118,0.1815415821501014
VIX rule,test,449,1111,374,557,75,554,0.16703786191536749,0.5013501350135013,0.5967948717948718
LogReg reduced,validation,136,850,116,567,20,283,0.14705882352941177,0.6670588235294118,0.6926977687626775
LogReg reduced,test,449,1111,432,934,17,177,0.0378619153674833,0.8406840684068407,0.8756410256410256
Random Forest,validation,136,850,70,136,66,714,0.4852941176470588,0.16,0.20892494929006086
Random Forest,test,449,1111,368,599,81,512,0.18040089086859687,0.5391539153915391,0.6198717948717949
XGBoost,validation,136,850,73,63,63,787,0.4632352941176471,0.07411764705882352,0.13793103448275862
XGBoost,test,449,1111,225,240,224,871,0.49888641425389757,0.21602160216021601,0.2980769230769231
