modelo,split,roc_auc,pr_auc
VIX (score continuo),validation,0.6887889273356401,0.2901653244382596
VIX (score continuo),test,0.7594574602226369,0.6032402562144313
Random Forest,validation,0.6199048442906575,0.2981649410472693
XGBoost,validation,0.7472664359861593,0.436270600959642
Random Forest,test,0.7549991079286102,0.6289696910165259
XGBoost,test,0.6707935826990271,0.5399688020614921
