horizon_days,split,roc_auc,pr_auc
10,validation,0.8220509077638902,0.434228378620355
10,test,0.8594133680520959,0.69650046424838
20,validation,0.6887889273356401,0.2901653244382596
20,test,0.7633125042103952,0.6113504899394008
30,validation,0.6278870829769033,0.27072403333055256
30,test,0.7374889770723104,0.6128326811146738
