horizon_days,positive_rate_full,positive_rate_train,positive_rate_validation,positive_rate_test,n_full,n_train,n_validation,n_test,test_end_date
10,0.21401216490200495,0.21866074262139004,0.11460446247464504,0.2509677419354839,8878,6302,986,1550,2026-04-01
20,0.2495489400090212,0.2546810536337671,0.13793103448275862,0.2915584415584416,8868,6302,986,1540,2026-03-18
30,0.28561752088507564,0.29054268486194856,0.16937119675456389,0.32941176470588235,8858,6302,986,1530,2026-03-04
